Title,Type,Priority,Preconditions,Steps,Expected Result,Section
Add document footer with page numbers and author,Other,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
Add document header with document title,Automated,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
Change document orientation from portrait to landscape mode,Usability,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
Compare print preview of printer driver with actual output,Usability,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
Verify space and indentation calculations of inline tables,Performance,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
Add watermark to document and verify print output,Usability,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help > Licensing & Terms
Verify Mail Merge functionality with test database mmdb1,Regression,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help > Licensing & Terms
Test full screen reading on minimal resolution system,Usability,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help > Licensing & Terms
Verify Arrange All Windows functionality on multi-monitor system,Functionality,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help > Licensing & Terms
Apply built-in theme to document and verify print output,Functionality,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help > Licensing & Terms
,,,,"Lorem quam quis eget, tellus vestibulum rutrum",,
Verify clipboard history with platform independent graphic file,Usability,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help > Licensing & Terms
Add numbered list to inline table within an document,Other,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help > Licensing & Terms
Test incremental search with multi-page document,Other,High,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Customization
Verify interoperability with system file dialogs,Performance,High,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Customization
Test menu keyboard bindings and shortcuts,Performance,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Customization
"Verify title, sub title and heading styles",Performance,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Customization
Test add-in installation and verify menu appearance,Functionality,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Customization
Add footnotes to document and verify footnote numbering,Other,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Customization
,,,,"Lorem quam quis eget, tellus vestibulum rutrum",,
,,,,Tellus vestibulum rutrum,,
